2026-04-30 14:42:48,678 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_144248.*
2026-04-30 14:42:48,686 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 14:49:54,126 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_144954.*
2026-04-30 14:49:54,134 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 14:51:59,058 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_145159.*
2026-04-30 14:51:59,070 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 14:51:59,403 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 14:52:06,285 | ERROR    | src.transcription.whisper_client | Whisper API error (attempt 1): Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:52:11,154 | ERROR    | src.transcription.whisper_client | Whisper API error (attempt 2): Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:52:13,469 | ERROR    | src.transcription.whisper_client | Whisper API error (attempt 3): Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:52:13,476 | ERROR    | src.transcription.pipeline | Transcription error: Whisper failed after 3 attempts: Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:53:13,414 | ERROR    | src.transcription.whisper_client | Whisper API error (attempt 1): Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:53:15,479 | ERROR    | src.transcription.whisper_client | Whisper API error (attempt 2): Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:53:18,250 | ERROR    | src.transcription.whisper_client | Whisper API error (attempt 3): Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:53:18,254 | ERROR    | src.transcription.pipeline | Transcription error: Whisper failed after 3 attempts: Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:53:23,824 | ERROR    | src.transcription.whisper_client | Whisper API error (attempt 1): Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:53:43,183 | ERROR    | src.transcription.whisper_client | Whisper API error (attempt 2): Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:53:45,517 | ERROR    | src.transcription.whisper_client | Whisper API error (attempt 3): Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:53:45,520 | ERROR    | src.transcription.pipeline | Transcription error: Whisper failed after 3 attempts: Error code: 401 - {'error': {'message': 'Incorrect API key provided: gsk_oSqS********************************************WdFo. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-30 14:57:18,521 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 14:57:18,593 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 14:57:23,598 | INFO     | src.utils.file_handler | Session closed. 0 utterance(s) saved.
2026-04-30 15:02:16,779 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_150216.*
2026-04-30 15:02:16,785 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:12:12,864 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_151212.*
2026-04-30 15:12:12,872 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:19:30,238 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_151930.*
2026-04-30 15:19:30,249 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:19:30,583 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 15:21:01,393 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 15:21:01,454 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 15:21:01,461 | INFO     | src.utils.file_handler | Session closed. 0 utterance(s) saved.
2026-04-30 15:21:04,334 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_152104.*
2026-04-30 15:21:04,341 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:21:04,378 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 15:21:09,799 | ERROR    | src.transcription.whisper_client | Groq error (attempt 1): Error code: 404 - {'error': {'message': 'The model `whisper-1` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-30 15:21:11,690 | ERROR    | src.transcription.whisper_client | Groq error (attempt 2): Error code: 404 - {'error': {'message': 'The model `whisper-1` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-30 15:21:13,325 | ERROR    | src.transcription.whisper_client | Groq error (attempt 3): Error code: 404 - {'error': {'message': 'The model `whisper-1` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-30 15:21:13,327 | ERROR    | src.transcription.pipeline | Transcription error: Groq Whisper failed after 3 attempts: Error code: 404 - {'error': {'message': 'The model `whisper-1` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-30 15:22:55,687 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 15:22:55,740 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 15:22:55,989 | INFO     | src.utils.file_handler | Session closed. 0 utterance(s) saved.
2026-04-30 15:23:12,953 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_152312.*
2026-04-30 15:23:12,958 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:24:02,308 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_152402.*
2026-04-30 15:24:02,316 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:24:58,498 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_152458.*
2026-04-30 15:24:58,504 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:25:24,724 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_152524.*
2026-04-30 15:25:24,729 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:25:25,089 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 15:28:17,111 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 15:28:17,166 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 15:28:17,409 | INFO     | src.utils.file_handler | Session closed. 9 utterance(s) saved.
2026-04-30 15:28:19,650 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_152819.*
2026-04-30 15:28:19,658 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:28:19,679 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 15:32:39,796 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 15:32:39,854 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 15:32:40,098 | INFO     | src.utils.file_handler | Session closed. 10 utterance(s) saved.
2026-04-30 15:32:43,783 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_153243.*
2026-04-30 15:32:43,789 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:32:43,812 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 15:36:39,591 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 15:36:39,636 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 15:36:39,883 | INFO     | src.utils.file_handler | Session closed. 30 utterance(s) saved.
2026-04-30 15:38:10,483 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_153810.*
2026-04-30 15:38:10,490 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:39:43,912 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_153943.*
2026-04-30 15:39:43,919 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:41:02,006 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_154102.*
2026-04-30 15:41:02,018 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:41:02,439 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 15:44:50,350 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 15:44:50,395 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 15:44:50,645 | INFO     | src.utils.file_handler | Session closed. 2 utterance(s) saved.
2026-04-30 15:45:52,442 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_154552.*
2026-04-30 15:45:52,448 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:46:07,533 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_154607.*
2026-04-30 15:46:07,539 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:46:07,852 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 15:48:15,367 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 15:48:15,408 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 15:48:15,652 | INFO     | src.utils.file_handler | Session closed. 2 utterance(s) saved.
2026-04-30 15:48:19,540 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_154819.*
2026-04-30 15:48:19,546 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 15:48:19,570 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 15:48:32,107 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 15:48:32,149 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 15:48:32,388 | INFO     | src.utils.file_handler | Session closed. 0 utterance(s) saved.
2026-04-30 16:30:57,066 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_163057.*
2026-04-30 16:30:57,076 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
2026-04-30 16:30:57,429 | INFO     | src.transcription.pipeline | [bold green]Pipeline started[/bold green] — speak now. Press Ctrl+C to stop.
2026-04-30 16:32:42,014 | INFO     | src.transcription.pipeline | Shutting down pipeline…
2026-04-30 16:32:42,049 | INFO     | src.audio.capture | Mic stream closed.
2026-04-30 16:32:42,296 | INFO     | src.utils.file_handler | Session closed. 0 utterance(s) saved.
2026-04-30 16:32:50,286 | INFO     | src.utils.file_handler | Transcript session started → output/transcripts/session_20260430_163250.*
2026-04-30 16:32:50,292 | INFO     | src.audio.capture | Opening mic stream — 16000Hz, 480 samples/chunk
